"","站名","年","月","PM2.5 天數","PM10 天數","PM2.5 average","PM10 average","縣市","鄉鎮"
"1","二林","2012","01",11,0,30.3087307152875,53.9857410004675,"彰化縣","二林鎮"
"2","三重","2012","01",7,0,29.4000116877045,54.3342099111734,"新北市","三重區"
"3","三義","2012","01",1,0,19.9459803286942,29.1781430934657,"苗栗縣","三義鄉"
"4","土城","2012","01",6,0,26.0144286755787,36.5077616983297,"新北市","土城區"
"5","士林","2012","01",3,0,20.5731544052021,36.640783713715,"臺北市","北投區"
"6","大同","2012","01",11,0,30.8817788686302,47.5413911707741,"臺北市","大同區"
"7","大里","2012","01",11,0,29.8283945951197,48.1576182023975,"臺中市","大里區"
"8","大園","2012","01",4,0,20.2604187537568,31.2414095371669,"桃園市","大園區"
"9","大寮","2012","01",22,3,58.2835968956094,83.4795790176328,"高雄市","大寮區"
"10","小港","2012","01",29,2,67.647136203643,84.9605873906365,"高雄市","小港區"
"11","中山","2012","01",12,0,31.6210057795686,35.2097358578775,"臺北市","中山區"
"12","中壢","2012","01",6,0,24.6769412214714,54.3818086191508,"桃園市","中壢區"
"13","仁武","2012","01",27,6,49.5208625525947,93.8422159887798,"高雄市","仁武區"
"14","斗六","2012","01",18,0,38.3005726975222,60.8554230949042,"雲林縣","斗六市"
"15","冬山","2012","01",2,0,17.8108929406265,30.877693484636,"宜蘭縣","冬山鄉"
"16","古亭","2012","01",7,0,27.3402290790089,44.0390369331463,"臺北市","大安區"
"17","臺西","2012","01",10,0,28.4890535419896,41.0937261632342,"雲林縣","臺西鄉"
"18","臺東","2012","01",0,0,10.28103085554,27.5316152407667,"臺東縣","臺東市"
"19","臺南","2012","01",19,0,40.8024691813686,69.3861802121011,"臺南市","中西區"
"20","左營","2012","01",27,4,47.9665519146585,83.7380307280377,"高雄市","左營區"
"21","平鎮","2012","01",3,0,19.8406222108887,46.2879903523312,"桃園市","平鎮區"
"22","永和","2012","01",6,0,25.2396935696375,37.6025011687705,"新北市","永和區"
"23","安南","2012","01",14,1,37.3737177677395,73.6673897105699,"臺南市","安南區"
"24","朴子","2012","01",14,1,33.6205586722768,68.668584512729,"嘉義縣","朴子市"
"25","汐止","2012","01",4,0,21.0745383356709,30.3406865691578,"新北市","汐止區"
"26","竹山","2012","01",17,0,40.1114037991257,51.8536455012963,"南投縣","竹山鎮"
"27","竹東","2012","01",1,0,18.6985407066052,32.1406328360746,"新竹縣","竹東鎮"
